 000-000-0000-000000                                                       
 100-000-0000-000000                CURRENT ASSETS                         
 100-100-0000-000000                CASH & CASH EQU                        
 100-100-0001-000000                STD CHARTERED CURR A/C                 
 100-100-0002-000000                PETTY CASH HKD                         
 100-100-0003-000000                ABN CURRENT                            
 100-100-0004-000000                HSBC CURR A/C                          
 100-100-0005-000000                Special Time Deposit                   
 100-200-0000-000000                SHORT TERM INVESTMENT                  
 100-200-0001-000000                MARKETABLE SECRUITIES                  
 100-300-0000-000000                ACCOUNTS RECEIVABLE                    
 100-300-0001-000000                TRADE RECEIVABLES HKD                  
 100-300-0002-000000                NOTES RECEIVABLES HKD                  
 100-300-0003-000000                COV-TRADE RECEIVABLES H                
 100-300-0005-000000                ALLOWANCE FOR BAD DEBT                 
 100-300-0006-000000                ALLOWANCE FOR CREDIT                   
 100-350-0000-000000                INTERCO RECEIVABLE                     
 100-350-0001-000000                INTERCO REC -SHANGHAI H                
 100-400-0000-000000                OTHER RECEIVABLES                      
 100-400-0001-000000                EMPLOYEE ADVANCES HKD                  
 100-400-0001-000100                ADVANCE - ERIC HKD                     
 100-400-0001-000200                ADVANCE - PETER HKD                    
 100-400-0001-000300                ADVANCE - JOVE HKD                     
 100-400-0001-000400                ADVANCE - RAYMOND HKD                  
 100-400-0001-000500                ADVANCE - BONIEL HKD                   
 100-400-0001-000600                ADVANCE - ANTONY HKD                   
 100-400-0001-000700                ADVANCE - PHILIP HKD                   
 100-400-0001-000800                ADVANCE - JOHN HKD                     
 100-400-0001-000900                ADVANCE - TONY HKD                     
 100-400-0001-001000                ADVANCE - WILLIAM HKD                  
 100-400-0001-001100                ADVANCE - CK YEUNG HKD                 
 100-400-0001-001200                ADVANCE - KEITH HKD                    
 100-400-0001-001300                ADVANCE - ANTONIO HKD                  
 100-400-0001-001500                ADVANCE - OTHERS HKD                   
 100-400-0002-000000                VAT RECEIVABLES                        
 100-400-0003-000000                INTEREST RECEIVABLES                   
 100-400-0004-000000                OTHER RECEIVABLES                      
 100-400-0004-000100                RECEIVABLE -GIETC                      
 100-400-0004-000200                RECEIVABLE -JNPIEC                     
 100-400-0004-000300                RECEIVABLE - USD                       
 100-400-0004-001000                RECEIVABLE - OTHERS                    
 100-500-0000-000000                INVENTORY                              
 100-500-0001-000000                INVENTORIES                            
 100-500-0002-000000                GIT CHEMICALS                          
 100-500-0003-000000                GIT SYSTEMS                            
 100-500-0004-000000                GIT SUPPLIES                           
 100-500-0005-000000                GIT OTHERS                             
 100-500-0010-000000                WIP ESD                                
 100-500-0011-000000                WIP MIC PAC                            
 100-500-0020-000000                ALLOWANCE FOR OBSOLETED                
 100-600-0000-000000                PREPAYMENTS                            
 100-600-0001-000000                PREPAID INSURANCE                      
 100-600-0002-000000                COST OF SALES WH1                      
 100-600-0003-000000                PREPAID TAXES                          
 100-600-0010-000000                PREPAID OTHERS                         
 100-700-0000-000000                DEFERRED TAX ASSETS -CU                
 100-800-0000-000000                INTERCO RECEIVABLES                    
 150-000-0000-000000                FIXED ASSETS                           
 150-100-0000-000000                LAND AND BUILDINGS                     
 150-100-0001-000000                LAND                                   
 150-100-0002-000000                BUILDINGS                              
 150-200-0000-000000                MACHINERY AND EQUIP                    
 150-200-0001-000000                MACHINERY & EQUIP                      
 150-200-0002-000000                INSTAPAK SYSTEMS                       
 150-200-0003-000000                LEASEHOLD IMPROVEMENT                  
 150-200-0004-000000                VEHICLES                               
 150-200-0005-000000                COMPUTER                               
 150-200-0006-000000                FURNITURE & FIXTURE                    
 150-200-0010-000000                CONSTRCTION IN PROGRESS                
 150-210-0000-000000                ACC DEPRECIATION                       
 150-210-0001-000000                ACC. DEPN -LAND                        
 150-210-0002-000000                ACC. DEPN -BLDG                        
 150-210-0011-000000                ACC. DEPN -M&E                         
 150-210-0012-000000                ACC. DEPN -INSTAPAK                    
 150-210-0013-000000                ACC. DEPN -LEASE IMP                   
 150-210-0014-000000                ACC. DEPN -VEHICLES                    
 150-210-0015-000000                ACC. DEPN -COMPUTERS                   
 150-210-0016-000000                ACC, DEPN -F&F                         
 150-300-0000-000000                PATENT & GOODWILL                      
 150-400-0000-000000                INVESTMENT /LOAN TO AFF                
 150-400-0001-000000                INVESTMENT IN SASPL                    
 150-400-0002-000000                LOAN TO SHANGHAI                       
 150-400-0003-000000                LOAN TO CRYOVAC                        
 150-500-0000-000000                OTHERS ASSETS                          
 150-500-0001-000000                RENTAL DEPOSIT                         
 150-500-0002-000000                UTILTIIES DEPOSIT                      
 150-500-0003-000000                OTHER REFUNDABLE DEPOSI                
 150-500-0004-000000                DEFERRED STOCK AWARD                   
 150-500-0005-000000                DEFERRED SOFTWARE                      
 150-500-0006-000000                ACC. AMORT DEF SOFTWARE                
 150-500-0007-000000                DEFERRED EXPENSES                      
 150-700-0000-000000                LEASED SYSTEMS                         
 150-700-0001-000000                INSTAPAK SYSTEM ON LOAN                
 150-700-0002-000000                PPD SYSTEM ON LOAN                     
 150-710-0000-000000                ACC DEPN -LOANED SYSTEM                
 150-710-0001-000000                ACC. DEPN -LOANED EPD                  
 150-710-0002-000000                ACC. DEPN -LOANED PPD                  
 200-000-0000-000000                CURRENT LIAB                           
 200-100-0000-000000                NOTES PAYABLE/S-T DEBTS                
 200-100-0001-000000                HSBC BANK OVERDRAFT                    
 200-200-0000-000000                CURR PORTION OF L-t DEB                
 200-200-0001-000000                CURR PORTION OF L-T DEB                
 200-300-0000-000000                ACCOUNTS PAYABLE                       
 200-300-0001-000000                A/C PAYABLE -BILLED                    
 200-300-0002-000000                A/C PAYABLE -UNBILLED                  
 200-300-0003-000000                PURCHASE CLEARING                      
 200-400-0000-000000                ACCRUED PAYROLL                        
 200-400-0001-000000                UNPAID SALARIES                        
 200-400-0002-000000                ACCRUED COMMISSION                     
 200-400-0003-000000                ACCRUED 13 MONTH PAY                   
 200-400-0004-000000                ACCRUED MBO                            
 200-400-0005-000000                ACCRUED 14 MONTH PAY                   
 200-410-0000-000000                ACCRUED INTEREST                       
 200-410-0001-000000                ACCRUED INTEREST                       
 200-420-0000-000000                ACCRUED OTHERS                         
 200-420-0001-000000                ACCRUED AUDIT FEE                      
 200-420-0002-000000                ACCRUED TRADE COMMISSIO                
 200-420-0003-000000                ACCRUED OTHERS                         
 200-500-0000-000000                INCOME TAX PAYABLE                     
 200-500-0001-000000                INCOME TAX PAYABLE - CU                
 200-500-0002-000000                INCOME TAX PAYABLE -PRI                
 200-600-0000-000000                DEFERRED INCOME                        
 200-600-0001-000000                ADVANCE RECEIPT                        
 200-600-0002-000000                SUSPENSE ACCOUNT                       
 200-700-0000-000000                INTERCO PAYABLE                        
 200-700-0001-000000                INTERCO PAY -SHANGHAI H                
 250-000-0000-000000                LONG TERM LIAB                         
 250-100-0000-000000                LONG TERM BORROWINGS                   
 250-200-0000-000000                DEFERRED TAX LIAB                      
